year,offence_type,offence_group,source,target,value
2009,Male,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 0 Previous offences,7289
2009,Male,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 1+ Previous offences,1864
2009,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Caution,2870
2009,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Community Sentence,1489
2009,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Suspended Sentence,831
2009,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Immediate Custody,1296
2009,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Other,803
2009,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Caution,121
2009,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Community Sentence,451
2009,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Suspended Sentence,332
2009,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Immediate Custody,765
2009,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Other,195
2009,Male,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 0 Previous offences,2215
2009,Male,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 1+ Previous offences,229
2009,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Caution,670
2009,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Community Sentence,1253
2009,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Immediate Custody,180
2009,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Other,112
2009,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Caution,6
2009,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Community Sentence,136
2009,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Immediate Custody,68
2009,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Other,19
2009,Male,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 0 Previous offences,2657
2009,Male,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 1+ Previous offences,216
2009,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Caution,1251
2009,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Community Sentence,1140
2009,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Immediate Custody,154
2009,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Other,112
2009,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Caution,12
2009,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Community Sentence,126
2009,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Immediate Custody,63
2009,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Other,15
2009,Not Stated,Adult (Aged 18 and over),Blade or point,Blade or point - 0 Previous offences,9
2009,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Caution,4
2009,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Community Sentence,2
2009,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Suspended Sentence,1
2009,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Immediate Custody,2
2009,Not Stated,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 0 Previous offences,12
2009,Not Stated,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 1+ Previous offences,2
2009,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Caution,9
2009,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Community Sentence,1
2009,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Suspended Sentence,1
2009,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Other,1
2009,Not Stated,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Other,2
2009,Not Stated,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 0 Previous offences,5
2009,Not Stated,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 1+ Previous offences,1
2009,Not Stated,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Caution,3
2009,Not Stated,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Community Sentence,2
2009,Not Stated,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Community Sentence,1
2009,Not Stated,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 0 Previous offences,11
2009,Not Stated,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Caution,11
2010,Female,Adult (Aged 18 and over),Blade or point,Blade or point - 0 Previous offences,628
2010,Female,Adult (Aged 18 and over),Blade or point,Blade or point - 1+ Previous offences,123
2010,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Caution,145
2010,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Community Sentence,210
2010,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Suspended Sentence,82
2010,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Immediate Custody,92
2010,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Other,99
2010,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Caution,3
2010,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Community Sentence,39
2010,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Suspended Sentence,23
2010,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Immediate Custody,41
2010,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Other,17
2010,Female,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 0 Previous offences,580
2010,Female,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 1+ Previous offences,58
2010,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Caution,327
2010,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Community Sentence,96
2010,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Suspended Sentence,62
2010,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Immediate Custody,42
2010,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Other,53
2010,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Caution,2
2010,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Community Sentence,18
2010,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Suspended Sentence,7
2010,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Immediate Custody,26
2010,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Other,5
2010,Female,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 0 Previous offences,212
2010,Female,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 1+ Previous offences,26
2010,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Caution,83
2010,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Community Sentence,106
2010,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Immediate Custody,6
2010,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Other,17
2010,Female,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Community Sentence,17
2010,Female,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Immediate Custody,3
2010,Female,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Other,6
2010,Female,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 0 Previous offences,110
2010,Female,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 1+ Previous offences,9
2010,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Caution,60
2010,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Community Sentence,41
2010,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Immediate Custody,3
2010,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Other,6
2010,Female,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Community Sentence,4
2010,Female,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Immediate Custody,1
2010,Female,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Other,4
2010,Male,Adult (Aged 18 and over),Blade or point,Blade or point - 0 Previous offences,5818
2010,Male,Adult (Aged 18 and over),Blade or point,Blade or point - 1+ Previous offences,2233
2010,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Caution,981
2010,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Community Sentence,1589
2010,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Suspended Sentence,1000
2010,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Immediate Custody,1350
2010,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Other,898
2010,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Caution,56
2010,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Community Sentence,516
2010,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Suspended Sentence,429
2010,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Immediate Custody,986
2010,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Other,246
2010,Male,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 0 Previous offences,6278
2010,Male,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 1+ Previous offences,1528
2010,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Caution,2179
2010,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Community Sentence,1377
2010,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Suspended Sentence,868
2010,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Immediate Custody,1127
2010,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Other,727
2010,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Caution,86
2010,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Community Sentence,371
2010,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Suspended Sentence,257
2010,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Immediate Custody,644
2010,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Other,170
2010,Male,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 0 Previous offences,1714
2010,Male,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 1+ Previous offences,191
2010,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Caution,465
2010,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Community Sentence,992
2010,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Immediate Custody,134
2010,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Other,123
2010,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Caution,3
2010,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Community Sentence,126
2010,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Immediate Custody,55
2010,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Other,7
2010,Male,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 0 Previous offences,1797
2010,Male,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 1+ Previous offences,174
2010,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Caution,754
2010,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Community Sentence,818
2010,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Immediate Custody,129
2010,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Other,96
2010,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Caution,6
2010,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Community Sentence,106
2010,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Immediate Custody,37
2010,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Other,25
2010,Not Stated,Adult (Aged 18 and over),Blade or point,Blade or point - 0 Previous offences,8
2010,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Caution,5
2010,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Community Sentence,1
2010,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Suspended Sentence,1
2010,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Other,1
2010,Not Stated,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 0 Previous offences,11
2010,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Caution,6
2010,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Community Sentence,3
2010,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Suspended Sentence,1
2010,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Other,1
2010,Not Stated,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 0 Previous offences,3
2010,Not Stated,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Caution,2
2010,Not Stated,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Community Sentence,1
2010,Not Stated,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 0 Previous offences,4
2010,Not Stated,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Caution,4
2011,Female,Adult (Aged 18 and over),Blade or point,Blade or point - 0 Previous offences,673
2011,Female,Adult (Aged 18 and over),Blade or point,Blade or point - 1+ Previous offences,167
2011,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Caution,136
2011,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Community Sentence,212
2011,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Suspended Sentence,97
2011,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Immediate Custody,102
2011,Female,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Other,126
2011,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Caution,5
2011,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Community Sentence,64
2011,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Suspended Sentence,19
2011,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Immediate Custody,52
2011,Female,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Other,27
2011,Female,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 0 Previous offences,532
2011,Female,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 1+ Previous offences,48
2011,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Caution,274
2011,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Community Sentence,82
2011,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Suspended Sentence,51
2011,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Immediate Custody,57
2011,Female,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Other,68
2011,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Caution,4
2011,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Community Sentence,17
2011,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Suspended Sentence,5
2011,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Immediate Custody,15
2011,Female,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Other,7
2011,Female,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 0 Previous offences,199
2011,Female,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 1+ Previous offences,12
2011,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Caution,60
2011,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Community Sentence,122
2011,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Immediate Custody,3
2011,Female,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Other,14
2011,Female,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Community Sentence,4
2011,Female,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Immediate Custody,5
2011,Female,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Other,3
2011,Female,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 0 Previous offences,119
2011,Female,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 1+ Previous offences,8
2011,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Caution,47
2011,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Community Sentence,62
2011,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Immediate Custody,6
2011,Female,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Other,4
2011,Female,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Community Sentence,6
2011,Female,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Immediate Custody,2
2011,Male,Adult (Aged 18 and over),Blade or point,Blade or point - 0 Previous offences,5436
2011,Male,Adult (Aged 18 and over),Blade or point,Blade or point - 1+ Previous offences,2319
2011,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Caution,1028
2011,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Community Sentence,1518
2011,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Suspended Sentence,811
2011,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Immediate Custody,1225
2011,Male,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Other,854
2011,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Caution,57
2011,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Community Sentence,544
2011,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Suspended Sentence,368
2011,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Immediate Custody,1070
2011,Male,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Other,280
2011,Male,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 0 Previous offences,5535
2011,Male,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 1+ Previous offences,1501
2011,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Caution,1836
2011,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Community Sentence,1310
2011,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Suspended Sentence,657
2011,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Immediate Custody,1051
2011,Male,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Other,681
2011,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Caution,99
2011,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Community Sentence,368
2011,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Suspended Sentence,223
2011,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Immediate Custody,653
2011,Male,Adult (Aged 18 and over),Offensive weapon - 1+ Previous offences,Other,158
2011,Male,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 0 Previous offences,1519
2011,Male,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 1+ Previous offences,223
2011,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Caution,434
2011,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Community Sentence,876
2011,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Immediate Custody,121
2011,Male,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Other,88
2011,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Caution,7
2011,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Community Sentence,134
2011,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Immediate Custody,65
2011,Male,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Other,17
2011,Male,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 0 Previous offences,1539
2011,Male,Juvenile (Aged 10 to 17),Offensive weapon,Offensive weapon - 1+ Previous offences,169
2011,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Caution,588
2011,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Community Sentence,737
2011,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Immediate Custody,122
2011,Male,Juvenile (Aged 10 to 17),Offensive weapon - 0 Previous offences,Other,92
2011,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Caution,3
2011,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Community Sentence,100
2011,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Immediate Custody,47
2011,Male,Juvenile (Aged 10 to 17),Offensive weapon - 1+ Previous offences,Other,19
2011,Not Stated,Adult (Aged 18 and over),Blade or point,Blade or point - 0 Previous offences,5
2011,Not Stated,Adult (Aged 18 and over),Blade or point,Blade or point - 1+ Previous offences,1
2011,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Caution,1
2011,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Community Sentence,1
2011,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Suspended Sentence,2
2011,Not Stated,Adult (Aged 18 and over),Blade or point - 0 Previous offences,Other,1
2011,Not Stated,Adult (Aged 18 and over),Blade or point - 1+ Previous offences,Immediate Custody,1
2011,Not Stated,Adult (Aged 18 and over),Offensive weapon,Offensive weapon - 0 Previous offences,10
2011,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Caution,8
2011,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Community Sentence,1
2011,Not Stated,Adult (Aged 18 and over),Offensive weapon - 0 Previous offences,Other,1
2011,Not Stated,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 0 Previous offences,2
2011,Not Stated,Juvenile (Aged 10 to 17),Blade or point,Blade or point - 1+ Previous offences,2
2011,Not Stated,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Caution,1
2011,Not Stated,Juvenile (Aged 10 to 17),Blade or point - 0 Previous offences,Community Sentence,1
2011,Not Stated,Juvenile (Aged 10 to 17),Blade or point - 1+ Previous offences,Community Sentence,2
